index,midi_note,source,theoretical_hz,ftw,quantized_hz,quantization_error_hz,expected_left_peak,expected_right_peak
28,64,63,329.6275569128699,29494575,329.6275623142719,5.401402006555145e-06,29026.36415863037,9675.454719543457
29,65,63,349.2282314330039,31248413,349.22822937369347,-2.0593104181898525e-06,9675.454719543457,29026.36415863037
30,66,63,369.9944227116344,33106541,369.9944280087948,5.2971603849982785e-06,29026.36415863037,9675.454719543457
31,67,63,391.99543598174927,35075158,391.9954374432564,1.4615071108892153e-06,9675.454719543457,29026.36415863037
32,68,63,415.3046975799451,37160835,415.3046943247318,-3.2552133006902295e-06,29026.36415863037,9675.454719543457
33,69,63,440.0,39370534,440.0000050663948,5.066394805908203e-06,9675.454719543457,29026.36415863037
34,70,63,466.1637615180899,41711627,466.1637581884861,-3.329603828206018e-06,29026.36415863037,9675.454719543457
35,71,63,493.8833012561241,44191930,493.88330429792404,3.041799914171861e-06,9675.454719543457,29026.36415863037
36,72,63,523.2511306011972,46819719,523.2511349022388,4.301041599319433e-06,29026.36415863037,9675.454719543457
37,73,63,554.3652619537442,49603764,554.365262389183,4.354388920546626e-07,9675.454719543457,29026.36415863037
38,74,63,587.3295358348151,52553357,587.3295329511166,-2.8836985848101904e-06,29026.36415863037,9675.454719543457
39,75,63,622.2539674441618,55678342,622.2539618611336,-5.583028269029455e-06,9675.454719543457,29026.36415863037
40,76,63,659.2551138257398,58989149,659.255113452673,-3.7306688227545237e-07,29026.36415863037,9675.454719543457
41,77,63,698.4564628660078,62496826,698.4564587473869,-4.118620836379705e-06,9675.454719543457,29026.36415863037
42,78,63,739.9888454232688,66213081,739.9888448417187,-5.815501253891853e-07,29026.36415863037,9675.454719543457
43,79,63,783.9908719634985,70150316,783.9908748865128,2.9230142217784305e-06,9675.454719543457,29026.36415863037
44,80,63,830.6093951598903,74321671,830.6093998253345,4.665444294005283e-06,29026.36415863037,9675.454719543457
45,81,63,880.0,78741067,879.9999989569187,-1.043081283569336e-06,9675.454719543457,29026.36415863037
46,82,63,932.3275230361799,83423255,932.3275275528431,4.516663238973706e-06,29026.36415863037,9675.454719543457
47,83,63,987.7666025122483,88383859,987.7665974199772,-5.09227106704202e-06,9675.454719543457,29026.36415863037
48,84,63,1046.5022612023945,93639437,1046.5022586286068,-2.5737876967468765e-06,29026.36415863037,9675.454719543457
49,85,63,1108.7305239074883,99207528,1108.730524778366,8.708777841093251e-07,9675.454719543457,29026.36415863037
50,86,63,1174.6590716696303,105106715,1174.659077078104,5.4084737257653615e-06,29026.36415863037,9675.454719543457
51,87,63,1244.5079348883237,111356685,1244.507934898138,9.814357326831669e-09,9675.454719543457,29026.36415863037
52,88,63,1318.5102276514797,117978298,1318.510226905346,-7.461337645509047e-07,29026.36415863037,9675.454719543457
53,89,63,1396.9129257320155,124993653,1396.9129286706448,2.938629222626332e-06,9675.454719543457,29026.36415863037
54,90,63,1479.9776908465376,132426162,1479.9776896834373,-1.1631002507783705e-06,29026.36415863037,9675.454719543457
55,91,63,1567.981743926997,140300631,1567.9817385971546,-5.329842451828881e-06,9675.454719543457,29026.36415863037
56,92,63,1661.2187903197805,148643341,1661.2187884747982,-1.8449823073751759e-06,29026.36415863037,9675.454719543457
57,93,63,1760.0,157482134,1759.9999979138374,-2.086162567138672e-06,9675.454719543457,29026.36415863037
